time,open,high,low,close
1750793400,1.16201,1.16205,1.16121,1.16128
1750795200,1.16131,1.16153,1.1609,1.16121
1750797000,1.16121,1.16129,1.16081,1.16089
1750798800,1.1608,1.16125,1.16051,1.16052
1750800600,1.16052,1.16105,1.16047,1.16065
1750802400,1.16065,1.16114,1.16042,1.16061
1750804200,1.16061,1.16089,1.16061,1.16078
1750806000,1.16078,1.16146,1.16074,1.16121
1750807800,1.16121,1.16153,1.1611,1.16126
1750809600,1.16126,1.16227,1.16111,1.16226
1750811400,1.16226,1.16266,1.1618,1.16251
1750813200,1.16251,1.16316,1.16196,1.16202
1750815000,1.16202,1.16293,1.16179,1.16284
1750816800,1.16284,1.16293,1.1621,1.16245
1750818600,1.16245,1.16252,1.16178,1.16209
1750820400,1.16209,1.16232,1.1618,1.16219
1750822200,1.16219,1.16222,1.16114,1.16121
1750824000,1.16121,1.16177,1.16118,1.16156
1750825800,1.16156,1.16168,1.16127,1.16142
1750827600,1.16142,1.16153,1.16098,1.16112
1750829400,1.16112,1.16203,1.1611,1.16191
1750831200,1.16191,1.16225,1.16132,1.162
1750833000,1.162,1.162,1.1604,1.16075
1750834800,1.16075,1.16085,1.16001,1.1607
1750836600,1.1607,1.16089,1.15904,1.15988
1750838400,1.15988,1.16007,1.15934,1.16005
1750840200,1.16005,1.16112,1.15979,1.16098
1750842000,1.16098,1.16111,1.1596,1.15965
1750843800,1.15965,1.16007,1.15925,1.16007
1750845600,1.16007,1.16077,1.15974,1.16076
1750847400,1.16076,1.16081,1.16019,1.16039
1750849200,1.16039,1.16133,1.16025,1.16052
1750851000,1.16052,1.16069,1.15971,1.15995
1750852800,1.15995,1.1605,1.15957,1.15958
1750854600,1.15958,1.15987,1.15905,1.15931
1750856400,1.15931,1.16035,1.15905,1.16017
1750858200,1.16017,1.16075,1.15994,1.16009
1750860000,1.16009,1.16158,1.16008,1.16146
1750861800,1.16146,1.16234,1.16115,1.1621
1750863600,1.1621,1.1627,1.16193,1.16246
1750865400,1.16246,1.16295,1.16171,1.16201
1750867200,1.16201,1.16349,1.16198,1.16327
1750869000,1.16327,1.16357,1.16312,1.16313
1750870800,1.16313,1.16359,1.16274,1.16345
1750872600,1.16345,1.16443,1.16342,1.16424
1750874400,1.16424,1.16503,1.16417,1.16503
1750876200,1.16503,1.16611,1.16501,1.16609
1750878000,1.16609,1.16651,1.16591,1.16627
1750879800,1.16627,1.16639,1.16564,1.16582
1750881600,1.16582,1.1661,1.16512,1.16513
1750883400,1.16513,1.16601,1.16513,1.1659
1750885200,1.16541,1.16567,1.16524,1.16534
1750887000,1.16534,1.16563,1.16532,1.16563
1750888800,1.16563,1.16586,1.16553,1.16561
1750890600,1.16561,1.16602,1.16559,1.16593
1750892400,1.16593,1.16757,1.16593,1.16723
1750894200,1.16723,1.16847,1.16723,1.16833
